transaction_id,amount,account_age,transaction_hour,device_changed,location_changed,transaction_velocity,avg_transaction_amount,merchant_risk,behavior_deviation,is_fraud,attack_type,amount_deviation
1,1935.2465823520763,1236,23,0,0,4,2097.5014621980035,0.018154331214163877,1.9556476465420904,0,legitimate,0.07735626542824808
2,4758.500101408589,893,12,0,0,2,1470.0770365108617,0.37876649230389414,1.1601488100522388,0,legitimate,2.236905266340735
3,3686.770314875885,577,3,1,0,5,802.1104814433804,0.247041072172272,1.2194145768829066,1,device_anomaly,3.5963372879028106
4,3033.4265725654795,1935,22,1,1,3,1686.1214968805,0.6704425202907257,0.3729005536287351,0,legitimate,0.7990557490534543
5,864.4913381679389,1090,21,0,0,5,2535.722168619139,0.4569098085800761,0.7586714311343745,0,legitimate,0.6590748983203042
6,864.373149647393,1037,7,0,0,3,1211.6306909579685,0.17273367855434962,1.5708618618813257,0,legitimate,0.2866034542555359
7,384.6096996241774,1067,21,0,0,7,2039.3068581972216,0.45628788497130124,1.996932906447225,1,velocity_attack,0.8114017524737899
8,4344.263114297182,1976,3,0,1,1,222.83284735840851,0.9313942122410546,1.1996559592096698,0,legitimate,18.49561371133847
9,3045.4635575417233,664,17,0,0,4,2815.9589742393277,0.4107984212136736,1.2337738431174643,0,legitimate,0.08150139451672636
10,3569.555631200623,624,6,0,0,2,2912.8014656309924,0.8703311728400617,1.8849144335627306,0,legitimate,0.22547165446010223
11,200.86402204943198,1212,10,0,0,5,1220.254350830312,0.47544007331200355,0.2538835559810786,0,legitimate,0.8353916772247068
12,4852.558275593772,1547,3,0,0,3,1545.3133490940688,0.7576494130883938,1.2236811816948099,0,legitimate,2.1401775429161707
13,4178.968939922066,1382,12,0,0,5,565.6898355668654,0.7858493165982939,1.1708551927868296,0,legitimate,6.387385590434752
14,1140.4616423235532,643,8,0,0,1,668.9704777927776,0.76074520740311,0.4101916961160048,0,legitimate,0.7048011536868241
15,990.942339314793,1902,8,0,0,2,1845.9990080211928,0.6384984093753538,1.5476322962265014,0,legitimate,0.4631945439791826
16,4811.85505927092,1136,22,0,0,4,1918.31294542764,0.952488283404398,3.138939439110616,1,behavior_anomaly,1.5083785577009892
17,1590.7869905017349,1609,20,0,0,4,1090.6601030262736,0.9285778524123341,0.12648411176253216,0,legitimate,0.45855430677967446
18,2671.306514997965,1633,18,0,0,3,1184.681745160902,0.3027837290800929,0.9722706216159809,0,legitimate,1.254872691260345
19,2216.530591346367,1613,2,0,1,2,1568.0627356551697,0.6946611796631826,0.5994423423045403,0,legitimate,0.4135471374621079
20,1527.0227869704054,1622,11,0,0,4,2825.397987779687,0.6647900748839833,0.8722731643998456,0,legitimate,0.4595371011181323
21,3098.0791841396594,1640,10,0,0,2,534.0042387279216,0.20026105131652983,0.22518021883758843,0,legitimate,4.801600360925505
22,783.519917195005,1075,19,0,0,5,1699.430652676824,0.26506809241430784,0.904804810865085,0,legitimate,0.5389515212280893
23,1531.5087778225688,1185,10,0,0,1,268.7398127141538,0.3107539972835991,0.8792067883614809,0,legitimate,4.698853334587847
24,4930.048820786634,494,16,0,0,2,1429.2123838851896,0.3315863572907254,3.0667352769294505,1,behavior_anomaly,2.449486497860258
25,2334.742922663476,1509,20,0,0,2,1251.9153983683882,0.8543627050422573,1.445138198348532,0,legitimate,0.8649366608209537
26,3947.362210825767,1355,13,0,0,4,576.1771087732393,0.7573531879060961,1.8409459254787366,0,legitimate,5.850952859321756
27,1078.4015325759628,984,15,0,1,3,575.5870699577551,0.8077344226043452,1.5624686194755613,0,legitimate,0.8735680296902977
28,2619.748748226697,959,23,0,0,3,1405.2795542262866,0.9130248802181379,1.5756838459625335,0,legitimate,0.864218930922302
29,1416.048526650892,1320,9,0,0,5,467.1252260937394,0.5143420573967039,1.7083028313833168,1,behavior_anomaly,2.031410952674025
30,327.60702232798883,828,3,0,0,4,954.8572940401298,0.8354320164520467,0.5117833106303142,0,legitimate,0.656904728724604
31,3076.969774317048,424,9,0,0,4,306.53322202852587,0.6953387626937899,0.8534278796337424,0,legitimate,9.037965066085745
32,935.5682060677285,1173,19,0,1,1,962.1517994991806,0.4647933855609161,1.7504187707266416,0,legitimate,0.027629313217820067
33,418.75280562786963,275,11,0,0,3,1647.7081382455917,0.19385399718554008,0.13384057334747745,0,legitimate,0.7458574149705058
34,4749.539132541333,597,8,0,0,4,2257.2259139336575,0.4302714869690677,0.1102511500103236,0,legitimate,1.104148770941732
35,4831.59696206534,67,14,0,0,5,2508.179903009632,0.20657856905807503,1.2958993402020138,0,legitimate,0.9263358885332659
36,4061.1470057706597,274,8,0,0,1,1079.743237766013,0.2871660520268182,1.8191180403543632,0,legitimate,2.761215503579505
37,1592.6074689495163,50,6,0,0,3,2822.5109713327206,0.28351452762430507,1.588404479828816,0,legitimate,0.4357479970405479
38,578.593358631281,1163,23,0,0,6,797.8118830843147,0.761033323087532,1.4127825166713237,1,velocity_attack,0.2747747045400502
39,3452.741829909569,1659,11,1,0,3,333.671445285303,0.5077889267877548,1.3391228869190346,1,device_anomaly,9.34772941675405
40,2256.7472193240465,423,19,0,0,1,2782.5280306989944,0.7931427990497569,1.183400821920378,0,legitimate,0.18895795678394922
41,3701.753536711487,1463,23,0,0,5,1665.4506324939912,0.8774073052319356,3.1866581518227046,1,behavior_anomaly,1.2226738304263982
42,2526.366859545224,1016,13,0,0,5,1118.9999783375363,0.611669706957893,1.5874802467452038,0,legitimate,1.2577005437467206
43,268.50375346457014,1701,21,0,0,8,2704.521483891359,0.4072049883252883,2.7855339056764263,1,velocity_attack,0.9007204213152569
44,4555.6699701860325,1796,15,0,0,4,2349.6627181152007,0.8567721905036494,1.600763029708794,0,legitimate,0.9388612395571381
45,1368.0219098400828,37,18,0,0,3,2514.086777753389,0.5675352196044101,0.053881391142612145,0,legitimate,0.45585732284763864
46,3346.3591933345115,1497,22,0,0,2,947.7960031024778,0.856936737127183,1.8851843530752421,0,legitimate,2.5306745147486085
47,1627.3842728381137,357,2,0,0,4,2633.107164974238,0.265422248397153,1.7411545009559262,0,legitimate,0.38195289030173757
48,2648.3333037712728,1940,10,0,0,5,1984.340201048755,0.5657587463689174,0.10389460357595115,0,legitimate,0.3346165654314653
49,2778.8803687820705,319,22,0,0,3,2240.2459842256862,0.21174825742982673,0.8386522220639367,0,legitimate,0.24043537555656266
50,1005.7868320750825,1816,20,0,0,5,1006.0243127901891,0.6983571784609705,1.8389532644128683,0,legitimate,0.0002360586241180762
51,4850.9646760463365,540,19,0,0,3,810.544994693673,0.5868910056842884,1.0255887719669856,0,legitimate,4.984818495954871
52,3898.150834469461,941,18,0,0,1,1283.7264014608222,0.5559997563757497,0.18290166152295528,0,legitimate,2.0365900631423823
53,4703.544813664526,390,7,0,0,4,1768.1169118124944,0.6391079822529646,1.933041355847233,0,legitimate,1.6602001158639044
54,4484.6540170954795,1962,19,1,0,1,2031.362044529095,0.3754029146351845,0.7169852952927562,0,legitimate,1.2077078919406017
55,3029.7098961743172,1652,7,0,1,4,1544.0972001613793,0.191976508244881,1.032494959298058,0,legitimate,0.9621238195740988
56,4617.183751613273,745,2,1,0,5,2126.7062668812887,0.806412705232288,1.2639099186826834,0,legitimate,1.1710491117253103
57,533.6132600544056,248,9,0,0,5,2154.16156212384,0.3843697723431536,1.6648731269585197,0,legitimate,0.7522872613471464
58,1060.3160258538114,435,12,0,0,2,2031.616105301811,0.988936132147306,1.7462429787435847,0,legitimate,0.47809233098381354
59,321.61371566163655,782,8,0,0,5,828.1565569816746,0.4810021798278249,1.3061812076722719,0,legitimate,0.6116510665159738
60,1694.1186207399953,952,5,0,0,3,1394.352618051919,0.49001410555768843,1.8968360691928299,0,legitimate,0.21498579255144654
61,2004.518719478462,861,14,0,0,2,2320.6698139104537,0.677818439905567,0.43803639896355806,0,legitimate,0.13623269132770777
62,1429.61025569209,1823,15,0,0,3,2672.188190719356,0.6667371791139359,1.8096679876995756,0,legitimate,0.46500390179958195
63,4160.813794844454,1674,4,0,0,2,1553.3962720439868,0.1805187491296496,0.380185505849266,0,legitimate,1.6785269603934223
64,1848.0913007985876,1821,20,1,0,3,2961.693145175374,0.27231029445907773,1.7888811851630848,0,legitimate,0.37600176311001504
65,1476.5790974681656,823,12,0,0,2,606.6667007337969,0.2315163971280053,0.43176917427502426,0,legitimate,1.4339214525573294
66,1595.6767168342394,1273,18,0,0,4,750.6994093880056,0.053405118650873495,2.63026322667467,1,behavior_anomaly,1.1255867486762599
67,790.5287023763369,624,1,0,0,4,1436.1787894533034,0.022411126852649343,1.6339158772589961,0,legitimate,0.4495610795942335
68,4030.7652056947945,136,5,0,0,2,1575.3476778186784,0.6449914828316787,0.7810567403864292,0,legitimate,1.558651186940546
69,465.298154030877,610,0,0,0,1,1330.983624321265,0.49859145205777644,0.22699693381830954,0,legitimate,0.6504103089411369
70,4935.745989342535,638,14,0,0,2,1348.1512689886222,0.8945956249867768,0.7250226911757698,0,legitimate,2.6611217916557037
71,3883.9993695536214,1777,14,0,0,1,1513.026808767047,0.30077120910988364,0.12324660131475018,0,legitimate,1.5670393591496639
72,1073.7068395174447,1339,13,0,0,3,1028.4825074581613,0.7875135388421375,1.318615557912653,0,legitimate,0.04397190203171549
73,127.05837390565176,1802,6,0,0,2,479.7350236285775,0.10315403390396394,1.394341971265606,0,legitimate,0.7351488474937293
