transaction_id,amount,account_age,transaction_hour,device_changed,location_changed,transaction_velocity,avg_transaction_amount,merchant_risk,behavior_deviation,is_fraud,attack_type,amount_deviation
1,1935.2465823520763,1236,23,0,0,4,2097.5014621980035,0.0181543312141638,1.9556476465420904,0,legitimate,0.077356265428248
2,4758.500101408589,893,12,0,0,2,1470.0770365108615,0.3787664923038941,1.1601488100522388,0,legitimate,2.236905266340735
3,3686.770314875885,577,3,1,0,5,802.1104814433804,0.247041072172272,1.2194145768829066,1,device_anomaly,3.5963372879028106
4,3033.4265725654795,1935,22,1,1,3,1686.1214968805,0.6704425202907257,0.3729005536287351,0,legitimate,0.7990557490534543
5,864.4913381679389,1090,21,0,0,5,2535.722168619139,0.4569098085800761,0.7586714311343745,0,legitimate,0.6590748983203042
6,864.373149647393,1037,7,0,0,3,1211.6306909579685,0.1727336785543496,1.5708618618813257,0,legitimate,0.2866034542555359
7,384.6096996241774,1067,21,0,0,7,2039.3068581972216,0.4562878849713012,1.996932906447225,1,velocity_attack,0.8114017524737899
8,4344.263114297182,1976,3,0,1,1,222.8328473584085,0.9313942122410546,1.1996559592096698,0,legitimate,18.49561371133847
9,3045.4635575417237,664,17,0,0,4,2815.958974239328,0.4107984212136736,1.2337738431174643,0,legitimate,0.0815013945167263
10,3569.555631200623,624,6,0,0,2,2912.8014656309924,0.8703311728400617,1.8849144335627304,0,legitimate,0.2254716544601022
11,200.864022049432,1212,10,0,0,5,1220.254350830312,0.4754400733120035,0.2538835559810786,0,legitimate,0.8353916772247068
12,4852.558275593772,1547,3,0,0,3,1545.3133490940688,0.7576494130883938,1.22368118169481,0,legitimate,2.1401775429161707
13,4178.968939922066,1382,12,0,0,5,565.6898355668654,0.7858493165982939,1.1708551927868296,0,legitimate,6.387385590434752
14,1140.4616423235532,643,8,0,0,1,668.9704777927776,0.76074520740311,0.4101916961160048,0,legitimate,0.7048011536868241
15,990.942339314793,1902,8,0,0,2,1845.9990080211928,0.6384984093753538,1.5476322962265014,0,legitimate,0.4631945439791826
16,4811.85505927092,1136,22,0,0,4,1918.31294542764,0.952488283404398,3.138939439110616,1,behavior_anomaly,1.5083785577009892
17,1590.7869905017349,1609,20,0,0,4,1090.6601030262736,0.928577852412334,0.1264841117625321,0,legitimate,0.4585543067796744
18,2671.306514997965,1633,18,0,0,3,1184.681745160902,0.3027837290800929,0.9722706216159808,0,legitimate,1.254872691260345
