transaction_id,amount,account_age,transaction_hour,device_changed,location_changed,transaction_velocity,avg_transaction_amount,merchant_risk,behavior_deviation,is_fraud,attack_type,amount_deviation
30001,103.20161473036782,1953,19,0,0,6,726.4226155688335,0.6120657599225756,0.817566734487831,1,stealth_velocity_v2,0.720413992165233
30002,2814.5669519653416,1948,5,0,1,6,530.0994168202234,0.6401011303165519,0.9331456970397252,1,stealth_velocity_v2,0.7548395700637845
30003,4358.58543675117,1876,13,0,0,6,694.8330557639827,0.45639282212711724,0.8202865586083764,1,stealth_velocity_v2,1.379226027984332
30004,2939.7282088349075,791,23,0,0,5,1345.8151062254142,0.7020045835295972,1.3220961934676518,1,stealth_velocity_v2,1.38300926270313
30005,4623.79636022762,1437,14,0,0,5,750.6447172866077,0.518442585477904,0.9937624399756246,1,stealth_velocity_v2,1.230987525002215
30006,4324.549495636296,907,15,0,0,6,368.1192284344543,0.6646257490036491,1.0817386221962262,1,stealth_velocity_v2,0.9262475047823395
30007,3523.3143882165846,953,0,0,0,6,1790.8863758793386,0.3887143751178389,1.404307963233065,1,stealth_velocity_v2,1.7116650637517188
30008,3540.605210376731,843,23,0,0,6,1235.5932586361514,0.586065825815854,1.3060374315156404,1,stealth_velocity_v2,1.472910593004157
30009,2077.066044440746,1320,10,0,0,6,228.77113379517488,0.6981583646240911,1.5209091317359127,1,stealth_velocity_v2,1.9971062629103753
30010,3978.635192697713,1308,1,0,0,5,2827.692012660264,0.3979815236113761,1.1957628623679564,1,stealth_velocity_v2,0.6695414953227765
30011,2859.32031007103,1668,18,0,0,6,2657.084882622281,0.7329560865402626,0.8951349567981085,1,stealth_velocity_v2,0.42673377121306444
30012,3105.7344600853703,1527,18,0,0,6,237.5468870082486,0.6203281267211505,1.5051662428718229,1,stealth_velocity_v2,1.1350060565186793
30013,846.8384653190454,1835,10,0,0,5,2195.4025892920417,0.39214371994733027,1.3222588357978138,1,stealth_velocity_v2,0.37207195089526834
30014,1673.694547916172,1150,5,0,0,5,456.076244056474,0.28469880589342894,0.8092288711437637,1,stealth_velocity_v2,0.4174077123683267
30015,3142.079900593545,93,11,0,0,5,2698.072088318172,0.2897552109621593,1.3780784660704688,1,stealth_velocity_v2,1.544232030934891
30016,2345.7856134791195,1906,12,0,0,5,2711.935801864192,0.7314323587730641,1.1618119052403477,1,stealth_velocity_v2,1.8023094964257849
30017,3899.506621503224,661,15,0,0,5,1651.3485476520443,0.3481875322955966,1.1809288990805724,1,stealth_velocity_v2,1.450829315341993
30018,3390.247828469314,1264,12,0,0,6,1807.198133516756,0.6513564600107784,1.4326092662848073,1,stealth_velocity_v2,1.0161971330451938
30019,194.04215643297775,386,9,0,0,5,2280.276110118623,0.7351805878011015,0.9313042464756545,1,stealth_velocity_v2,0.9075152143266287
30020,4320.948425868035,1160,12,0,0,6,1273.2808827771994,0.5146062917706733,1.1105426621048313,1,stealth_velocity_v2,1.9841764581242878
30021,683.7892927806361,1698,3,0,0,6,1382.78621844321,0.7292480828328438,0.9889948324545994,1,stealth_velocity_v2,0.9477080047280695
30022,2575.3036896372428,612,16,0,0,5,1953.1063211978587,0.3060897772395847,1.4808433448304268,1,stealth_velocity_v2,0.6610294734326885
30023,379.9503247823169,1986,9,0,0,5,2906.257510450213,0.5765021713866482,1.5153314828078497,1,stealth_velocity_v2,0.3754783846382762
30024,1803.9153942406465,704,2,0,1,5,2086.687182557276,0.48481506329269236,1.1710186724948668,1,stealth_velocity_v2,1.0024726380387696
30025,1801.713524097919,150,6,0,0,6,462.00912051677767,0.6259464343032854,1.0816288534065581,1,stealth_velocity_v2,0.45291717745360005
30026,1264.4239655627584,1004,4,0,0,6,1555.407579670087,0.46754661212300114,1.4826283598730017,1,stealth_velocity_v2,1.1873042408356125
30027,2075.732102600732,1692,13,0,0,5,2424.157220135006,0.5446979894629587,1.3076223184721028,1,stealth_velocity_v2,0.8987781876877496
30028,3427.941327736165,189,14,0,0,6,848.6485483343115,0.43136787441950547,1.1320115139825186,1,stealth_velocity_v2,0.501948626585282
30029,1169.2169193056438,1524,14,0,0,6,2232.8803989401254,0.4760032174984613,1.2040029374620085,1,stealth_velocity_v2,1.0749698899930595
30030,3056.295271658532,154,14,0,0,6,291.591066379882,0.30814229109514957,1.1409019273243095,1,stealth_velocity_v2,0.9515938206816121
30031,2040.0924083601544,1134,22,0,0,6,1242.1978201320303,0.7155514063431057,1.3063325190062032,1,stealth_velocity_v2,0.3923132490027902
30032,492.518060387051,1591,20,0,0,6,1966.3841718072435,0.2693811972949078,0.892097303426495,1,stealth_velocity_v2,1.3245090572013285
30033,1957.298378376872,488,23,0,0,5,2036.9909681338147,0.2610697047916081,1.258657326407392,1,stealth_velocity_v2,1.86374818979725
30034,2253.60727430126,560,3,0,0,5,2758.948099967208,0.5120738086404093,1.0044431524956512,1,stealth_velocity_v2,0.6645764938270076
30035,3998.334043662173,531,11,0,0,6,1706.8551986130506,0.3805224348887757,0.9452837844675444,1,stealth_velocity_v2,2.003321345240898
30036,4272.748860084463,476,9,0,0,6,122.21246757098018,0.45155494875164187,1.4282169693234132,1,stealth_velocity_v2,1.8555414664211514
30037,626.520760565244,1643,11,0,0,5,2595.634710482433,0.45828046084765106,1.512770784531321,1,stealth_velocity_v2,0.48410278563430054
30038,1146.3336416313618,1233,13,0,0,6,1525.3399050100068,0.42139496425312983,1.193345717778109,1,stealth_velocity_v2,0.9441246717336926
30039,274.3921309517343,484,23,0,0,5,2461.678916626887,0.26439434888968033,1.3478998410027985,1,stealth_velocity_v2,1.5995964412384251
30040,3767.0833134135337,419,21,0,0,6,2770.921504770743,0.6916250246130125,1.5670330299013364,1,stealth_velocity_v2,0.6532949007822678
30041,3756.6489823160064,543,13,0,0,6,2639.1987119909627,0.2605541774013209,1.5671103512487405,1,stealth_velocity_v2,1.4139820267259124
30042,1422.1215286282502,608,22,0,0,5,2855.1893700052715,0.35190119667909175,1.0294880687791643,1,stealth_velocity_v2,2.0385624051092317
30043,3025.8714380759666,1124,5,0,0,5,2739.998073229845,0.45323177250601815,1.116455739243006,1,stealth_velocity_v2,1.874460499516098
30044,2746.143042077369,1634,7,0,0,5,1777.5067440025812,0.7411854825636317,0.940271316644932,1,stealth_velocity_v2,1.734647194243045
30045,3728.333046572244,271,22,0,0,5,2571.587548916645,0.7220581438311601,1.0943776200073554,1,stealth_velocity_v2,1.4271377330508572
30046,422.87160865666624,867,12,0,0,6,1826.6539641586448,0.6090797374438667,1.4884455012399487,1,stealth_velocity_v2,0.44265734598612194
30047,1061.8420813242285,386,15,0,0,6,2206.704993324368,0.5840597547423328,1.0702181562877415,1,stealth_velocity_v2,1.3072563266743942
30048,263.7755049339684,1533,16,0,1,5,2659.773198656895,0.33235262396872955,1.2120444961714256,1,stealth_velocity_v2,0.9289803103437768
30049,612.8361576977576,765,7,0,0,6,2165.016443011166,0.5752061361720133,1.2173713854719903,1,stealth_velocity_v2,1.7006043267600603
30050,290.79628176956146,1076,18,0,0,6,1332.08414254171,0.3243010100919945,1.4987060826341916,1,stealth_velocity_v2,0.7903927347159734
30051,3368.480599914234,1586,0,0,0,6,2172.5552407226987,0.3764729419105338,1.4565342666595302,1,stealth_velocity_v2,1.6684847291582288
30052,151.51480025410208,683,0,0,0,6,1323.1405594659902,0.5186826966259859,0.9338789500613841,1,stealth_velocity_v2,0.988047408948284
30053,2152.0872634633906,1598,2,0,0,6,388.2332928994369,0.4204095795602777,0.9562297343355836,1,stealth_velocity_v2,2.0728343041293047
30054,4563.543204019828,1289,3,0,0,6,768.1295919323966,0.7249829334990318,1.4193759219980042,1,stealth_velocity_v2,1.5366679576954945
30055,351.1909499623911,317,6,0,0,6,2121.547909223544,0.5846433495190311,1.2487768134279298,1,stealth_velocity_v2,2.1836414429110445
30056,2266.124444278568,57,7,0,0,6,2828.354082834055,0.5442129138181482,1.5617560010399734,1,stealth_velocity_v2,0.7801870368195998
30057,3245.95506615601,1201,16,0,0,6,1628.003712059199,0.6358954155736736,1.544071256706962,1,stealth_velocity_v2,0.8303163754676495
30058,299.7981936183432,303,15,0,0,6,1534.83013550267,0.5367016281815805,1.5486584951158728,1,stealth_velocity_v2,1.904359026253941
30059,4463.583675625485,617,8,0,0,5,2779.1572075117288,0.477099904741127,1.110204578679396,1,stealth_velocity_v2,1.295543800750877
30060,4630.998729564958,1244,23,0,0,5,1640.2015400185162,0.3427149054681351,1.1577804296141543,1,stealth_velocity_v2,0.6684818647433939
30061,2513.336699712433,1918,0,0,0,6,2226.8840829816586,0.7435761407596524,0.9920013554309037,1,stealth_velocity_v2,1.6920836598070481
30062,1629.729709188734,385,0,0,0,5,1188.8177119798092,0.7113137909448737,1.4542865394792968,1,stealth_velocity_v2,0.420892330352631
30063,314.3214543138421,772,4,0,0,5,406.45194290480254,0.6553894219480834,0.8371581377427355,1,stealth_velocity_v2,2.15296518060724
30064,3559.684761726351,1830,11,0,0,6,1261.404157428339,0.5817484706380527,1.4316626034127307,1,stealth_velocity_v2,0.6067344894533357
30065,2842.8028498280746,1389,9,0,0,6,362.4218991122635,0.3939218122261925,0.9476248008330072,1,stealth_velocity_v2,2.1758559445440455
30066,4530.792127897069,1833,17,0,0,5,1358.0999045713545,0.6490463804795756,1.1449782007007538,1,stealth_velocity_v2,2.1013994401778264
30067,3446.7331897401486,1554,15,0,0,6,2217.442799952745,0.5854669735585376,1.5359941021197168,1,stealth_velocity_v2,0.7033952735443048
30068,2757.269880543288,1337,18,0,0,5,2606.85798650464,0.6713904616667157,1.3892900646221849,1,stealth_velocity_v2,0.6399894401459358
